subject,idna_subject,expiration_date,epoch,registrar
0101011.com,0101011.com,06-jul-2021,1625529600.0,
0101011.com,0101011.com,06-jul-2021,1625529600.0,
0427d7.se,0427d7.se,10-may-2023,1683676800.0,
0427d7.se,0427d7.se,10-may-2023,1683676800.0,
0pn.ru,0pn.ru,23-apr-2021,1619136000.0,
0pn.ru,0pn.ru,23-apr-2021,1619136000.0,
0stats.com,0stats.com,08-jun-2021,1623110400.0,
0stats.com,0stats.com,08-jun-2021,1623110400.0,
10fbb07a4b0.se,10fbb07a4b0.se,02-aug-2021,1627862400.0,
10fbb07a4b0.se,10fbb07a4b0.se,02-aug-2021,1627862400.0,
121media.com,121media.com,21-sep-2021,1632182400.0,
121media.com,121media.com,21-sep-2021,1632182400.0,
123greetings.com,123greetings.com,21-may-2025,1747785600.0,
123greetings.com,123greetings.com,21-may-2025,1747785600.0,
123plays.com,123plays.com,04-aug-2022,1659571200.0,
123plays.com,123plays.com,04-aug-2022,1659571200.0,
1girl1pitcher.org,1girl1pitcher.org,01-jun-2021,1622505600.0,
1girl1pitcher.org,1girl1pitcher.org,01-jun-2021,1622505600.0,
1guy1cock.com,1guy1cock.com,31-may-2021,1622419200.0,
1guy1cock.com,1guy1cock.com,31-may-2021,1622419200.0,
1kdailyprofit.biz,1kdailyprofit.biz,07-may-2021,1620345600.0,
1kdailyprofit.biz,1kdailyprofit.biz,07-may-2021,1620345600.0,
1man1jar.org,1man1jar.org,20-aug-2021,1629417600.0,
1man1jar.org,1man1jar.org,20-aug-2021,1629417600.0,
1man2needles.com,1man2needles.com,29-jun-2021,1624924800.0,
1man2needles.com,1man2needles.com,29-jun-2021,1624924800.0,
1priest1nun.com,1priest1nun.com,16-may-2021,1621123200.0,
1priest1nun.com,1priest1nun.com,16-may-2021,1621123200.0,
1priest1nun.net,1priest1nun.net,16-may-2021,1621123200.0,
1priest1nun.net,1priest1nun.net,16-may-2021,1621123200.0,
21jewelry.com,21jewelry.com,25-apr-2021,1619308800.0,
21jewelry.com,21jewelry.com,25-apr-2021,1619308800.0,
247playz.com,247playz.com,20-apr-2022,1650412800.0,
247playz.com,247playz.com,20-apr-2022,1650412800.0,
2girls1cup-free.com,2girls1cup-free.com,09-mar-2021,1615248000.0,
2girls1cup-free.com,2girls1cup-free.com,09-mar-2021,1615248000.0,
2girls1cup.cc,2girls1cup.cc,18-oct-2021,1634515200.0,
2girls1cup.cc,2girls1cup.cc,18-oct-2021,1634515200.0,
2girls1cup.com,2girls1cup.com,12-aug-2021,1628726400.0,
2girls1cup.com,2girls1cup.com,12-aug-2021,1628726400.0,
2girls1cup.ws,2girls1cup.ws,27-jul-2021,1627344000.0,
2girls1cup.ws,2girls1cup.ws,27-jul-2021,1627344000.0,
2girls1finger.com,2girls1finger.com,12-nov-2021,1636675200.0,
2girls1finger.com,2girls1finger.com,12-nov-2021,1636675200.0,
2girls1finger.org,2girls1finger.org,24-apr-2021,1619222400.0,
2girls1finger.org,2girls1finger.org,24-apr-2021,1619222400.0,
2guys1stump.org,2guys1stump.org,29-may-2021,1622246400.0,
2guys1stump.org,2guys1stump.org,29-may-2021,1622246400.0,
2site.com,2site.com,25-aug-2021,1629849600.0,
2site.com,2site.com,25-aug-2021,1629849600.0,
321cba.com,321cba.com,28-feb-2022,1646006400.0,
321cba.com,321cba.com,28-feb-2022,1646006400.0,
360ads.com,360ads.com,18-oct-2021,1634515200.0,
360ads.com,360ads.com,18-oct-2021,1634515200.0,
3fns.com,3fns.com,01-may-2021,1619827200.0,
3fns.com,3fns.com,01-may-2021,1619827200.0,
3guys1hammer.ws,3guys1hammer.ws,30-may-2021,1622332800.0,
3guys1hammer.ws,3guys1hammer.ws,30-may-2021,1622332800.0,
411playz.com,411playz.com,04-aug-2022,1659571200.0,
411playz.com,411playz.com,04-aug-2022,1659571200.0,
4girlsfingerpaint.com,4girlsfingerpaint.com,06-dec-2021,1638748800.0,
4girlsfingerpaint.com,4girlsfingerpaint.com,06-dec-2021,1638748800.0,
4girlsfingerpaint.org,4girlsfingerpaint.org,01-jun-2021,1622505600.0,
4girlsfingerpaint.org,4girlsfingerpaint.org,01-jun-2021,1622505600.0,
4th3d48.com,4th3d48.com,09-mar-2021,1615248000.0,
4th3d48.com,4th3d48.com,09-mar-2021,1615248000.0,
7500.com,7500.com,05-may-2021,1620172800.0,
7500.com,7500.com,05-may-2021,1620172800.0,
7adpower.com,7adpower.com,10-may-2021,1620604800.0,
7adpower.com,7adpower.com,10-may-2021,1620604800.0,
7bpeople.com,7bpeople.com,07-aug-2022,1659830400.0,
7bpeople.com,7bpeople.com,07-aug-2022,1659830400.0,
7x.cc,7x.cc,02-mar-2021,1614643200.0,
7x.cc,7x.cc,02-mar-2021,1614643200.0,
7xc4n.com,7xc4n.com,14-feb-2021,1613260800.0,
7xc4n.com,7xc4n.com,14-feb-2021,1613260800.0,
7zip.fr,7zip.fr,28-jan-2021,1611792000.0,
7zip.fr,7zip.fr,28-jan-2021,1611792000.0,
888casino.com,888casino.com,28-jun-2023,1687910400.0,
888casino.com,888casino.com,28-jun-2023,1687910400.0,
961.com,961.com,13-may-2022,1652400000.0,
961.com,961.com,13-may-2022,1652400000.0,
9cd76b4462bb.com,9cd76b4462bb.com,25-jun-2021,1624579200.0,
9cd76b4462bb.com,9cd76b4462bb.com,25-jun-2021,1624579200.0,
a-ads.com,a-ads.com,07-jul-2021,1625616000.0,
a-ads.com,a-ads.com,07-jul-2021,1625616000.0,
a7cleaner.com,a7cleaner.com,18-jan-2021,1610928000.0,
a7cleaner.com,a7cleaner.com,18-jan-2021,1610928000.0,
a98spolicies.com,a98spolicies.com,22-mar-2021,1616371200.0,
a98spolicies.com,a98spolicies.com,22-mar-2021,1616371200.0,
aarth.net,aarth.net,08-apr-2021,1617840000.0,
aarth.net,aarth.net,08-apr-2021,1617840000.0,
ab913aa797e78b3.com,ab913aa797e78b3.com,25-jun-2021,1624579200.0,
ab913aa797e78b3.com,ab913aa797e78b3.com,25-jun-2021,1624579200.0,
abclnks.com,abclnks.com,02-may-2021,1619913600.0,
abclnks.com,abclnks.com,02-may-2021,1619913600.0,
abetterinternet.com,abetterinternet.com,14-aug-2024,1723593600.0,
abetterinternet.com,abetterinternet.com,14-aug-2024,1723593600.0,
aboardamusement.com,aboardamusement.com,09-may-2021,1620518400.0,
aboardamusement.com,aboardamusement.com,09-may-2021,1620518400.0,
abruzzoinitaly.co.uk,abruzzoinitaly.co.uk,08-jan-2022,1641600000.0,
abruzzoinitaly.co.uk,abruzzoinitaly.co.uk,08-jan-2022,1641600000.0,
accessfreevpn.com,accessfreevpn.com,24-mar-2021,1616544000.0,
accessfreevpn.com,accessfreevpn.com,24-mar-2021,1616544000.0,
acglgoa.com,acglgoa.com,18-oct-2028,1855440000.0,
acglgoa.com,acglgoa.com,18-oct-2028,1855440000.0,
achetezfacile.com,achetezfacile.com,19-mar-2021,1616112000.0,
achetezfacile.com,achetezfacile.com,19-mar-2021,1616112000.0,
acnenomor.com,acnenomor.com,28-may-2021,1622160000.0,
acnenomor.com,acnenomor.com,28-may-2021,1622160000.0,
actionflash.com,actionflash.com,20-apr-2021,1618876800.0,
